45.5,9.2,1140,2210,1040,380,1040,1010,350,1000,890,990,930,1630,1010,1130,1770,1860,1480,720,1720,330,140,1200,4000,2590,1110,370,2020,880,1520,2300,520,1220,710,1670,2100,540,0,1734,373,1324,963,510,541,839,367,808,889,1336,1597,261,510,938,410,186
55.8,37.6,2541,3217,3730,2630,2147,1856,2680,3580,1900,3650,2645,1918,1953,2830,3560,3650,2410,2380,2650,2995,2930,2130,2700,1230,2580,2430,2610,2410,2250,4810,2410,3010,2624,4216,4790,3260,2790,0,1504,1187,2486,1837,1179,1417,1933,1268,1457,851,652,1435,1224,795,1411,1593
48.1,11.6,843,2227,1410,470,988,584,440,1320,530,1440,798,1701,711,1010,1560,1780,1070,400,1320,583,700,782,2610,1880,600,160,1810,580,1094,2680,440,1130,590,2030,2460,1110,600,2420,0,1038,1168,516,236,578,575,553,839,1066,1367,317,277,708,354,188
60,10.8,1370,3460,2720,1750,2300,1000,1840,2410,1670,3100,1530,2734,1962,1740,2470,2560,550,1420,"#DIV/0!",1990,2270,930,2100,980,1450,1850,3280,1360,610,3640,1780,1920,1560,3100,3780,2380,2130,1910,1670,0,2218,1150,839,497,1622,466,1690,336,416,1386,1032,926,1193,1139
38.1,13.4,2690,3340,2370,1930,2170,2450,1900,2500,2100,630,2480,2760,2210,2680,3320,3410,2920,2240,3160,1880,1470,2640,5440,4030,2660,1720,3150,2430,2960,3650,1650,2770,2260,3000,3430,1870,1550,4000,1880,3570,0,1467,1398,1734,597,1703,1591,2231,2349,957,1261,1690,1106,1150
48.9,2.3,510,2940,1110,490,1780,1090,550,560,1270,1790,300,2447,1561,290,1000,1090,1200,571,1440,571,940,920,3720,2310,480,860,2750,490,1240,1792,1340,450,340,1250,1830,770,820,2956,831,1850,2360,0,621,665,870,764,1348,1162,1665,771,746,1007,913,361
50.1,14.4,910,2130,1690,730,969,340,780,1540,320,1800,911,1460,574,1120,1860,1950,910,500,1150,948,1030,630,3220,1810,990,530,1890,700,740,2910,690,1310,730,2310,2750,1360,870,1897,380,1350,2250,1000,0,485,802,391,845,851,1044,447,199,385,410,414
54.5,11.2,590,2920,1940,970,1750,440,1060,1630,1100,2320,750,2180,1350,960,1690,1780,360,640,570,1170,1490,150,2670,1260,660,1070,2710,580,190,2860,1230,1140,780,2320,2900,1600,1350,2280,930,800,2790,1070,780,0,1137,199,1330,510,671,702,684,621,851,652
41.9,12.5,1730,2450,1410,970,1280,1490,940,1540,1210,580,1520,2034,1349,1720,2360,2450,1960,1280,2200,910,510,1680,4480,3070,1760,760,2260,1470,2000,2690,760,1810,1300,2040,2470,910,590,3110,925,2610,960,1400,1290,1830,0,1106,1038,1634,1796,410,708,1137,559,552
54.5,13.6,600,2760,2100,1130,1600,290,1220,1790,950,2300,910,2320,1490,1130,1850,1940,590,800,760,1370,1420,310,2850,1210,830,1020,2580,740,160,3020,1080,1300,940,2480,3060,1760,1300,2040,890,750,2740,1230,630,320,1780,0,1237,478,640,628,609,472,758,621
42.7,23.3,2190,820,2470,1770,390,1700,1720,2430,1040,2070,2060,427,777,2250,2970,3060,2270,1740,2510,1760,1570,1990,4590,3180,2220,1300,590,1930,2070,3750,900,2420,1820,3070,3530,1970,1430,2345,1350,2720,2560,2170,1360,2140,1670,1990,0,1703,1572,1404,646,913,478,1039
59.3,18.1,1390,3470,2740,1770,2320,1020,1860,2430,1690,3120,1550,2764,1992,1760,2490,2580,920,1440,1120,2010,2290,950,1850,"#DIV/0!",1470,1870,3300,1380,630,3660,1800,1940,1580,3120,3800,2400,2150,1370,1715,540,3590,1870,1370,820,2630,770,2740,0,"#DIV/0!",1056,1044,938,1206,1158
59.4,24.7,2280,3310,3510,2410,2140,1620,2460,3360,1680,3430,2400,2270,1740,2610,3340,3430,1040,2160,700,2610,2710,1910,1470,"#DIV/0!",2360,2210,3000,2190,770,4590,2190,2790,2410,3990,4570,3040,2570,1050,2200,670,3780,2680,1680,1080,2890,1030,2530,"#DIV/0!",0,1995,1087,659,1274,1448
45.7,13.8,1360,1790,1440,770,620,1090,770,1420,520,1100,1250,1210,560,1460,2170,2270,1260,900,1500,740,550,1300,1500,2700,1230,480,1600,1090,1640,2710,100,1620,1030,2060,2500,960,420,2310,510,2230,1540,1240,720,1130,660,1010,2260,1700,3210,0,311,739,149,441
48.2,16.4,1160,1810,1760,840,650,660,860,1720,70,1680,1120,1151,265,1360,2060,2150,1230,720,1470,1010,970,950,3530,2120,1200,460,1570,910,1040,3000,350,1510,930,2380,2820,1370,820,1970,446,1660,2030,1200,320,1100,1140,980,1040,1680,1750,500,0,429,615,465
52.2,21,1220,2250,2450,1350,1080,560,1400,2300,620,2370,1340,1181,674,1550,2280,2370,1130,1100,1370,1550,1650,850,3360,1950,1300,1150,1940,1130,970,3530,1130,1730,1350,2930,3510,1980,1510,1280,1140,1490,2720,1620,620,1000,1830,760,1470,1510,1060,1190,690,0,230,807
45.8,16,1410,1560,1680,1000,390,1440,920,1650,440,1420,1480,970,330,1700,2400,2500,1500,970,1740,980,790,1210,3790,2370,1460,520,1360,1330,1300,2950,140,1650,1050,2300,2740,1200,660,2270,570,1920,1780,1470,660,1370,900,1220,770,1940,2050,240,990,370,0,590
47.4,8.5,880,2599,1050,90,1290,845,130,990,820,1290,659,2003,1013,840,1567,1620,1210,440,1450,281,410,932,3730,2223,840,290,2270,560,1239,2228,810,1033,443,1696,2120,675,300,2564,302,1833,1850,581,667,1050,888,1000,1672,1863,2330,710,748,1298,950,0
